frame_id,est_x,est_y,gt_x,gt_y,track_state,n_candidates,n_matches,n_inliers,inlier_ratio,h_scale,ms
58,2060.3843,3382.9641,1962.7926,3456.0215,1,0,414,311,0.7512,0.5727,177.3
59,2056.5241,3376.8811,1958.4880,3450.2713,1,0,423,308,0.7281,0.6311,159.9
60,2052.2513,3370.9211,1954.0941,3444.4018,1,0,428,308,0.7196,0.6392,182.7
61,2048.3689,3364.0873,1949.4213,3438.1598,1,0,425,305,0.7176,0.6345,402.8
62,2043.9913,3358.4569,1945.1479,3432.4514,1,0,441,325,0.7370,0.6438,402.9
63,2039.7118,3351.8331,1940.4332,3426.1533,1,0,448,326,0.7277,0.6394,262.7
64,2035.9361,3345.8196,1936.1923,3420.4882,1,0,417,307,0.7362,0.6311,520.8
65,2032.1656,3339.6284,1931.8679,3414.7116,1,0,420,301,0.7167,0.6423,382.1
66,2027.8418,3332.9681,1927.1198,3408.3689,1,0,442,311,0.7036,0.6287,219.6
67,2024.3803,3327.7620,1923.3790,3403.3719,1,0,444,321,0.7230,0.5504,309.0
68,2020.0591,3321.1365,1918.6485,3397.0528,1,0,442,332,0.7511,0.6264,389.9
69,2015.5488,3313.9228,1913.5679,3390.2661,1,0,451,315,0.6984,0.6461,234.6
70,2012.9461,3309.5360,1910.5286,3386.2061,1,0,473,325,0.6871,0.5464,253.5
71,2008.0132,3302.9620,1905.6031,3379.6265,1,0,455,305,0.6703,0.5902,397.1
72,2003.5332,3295.8173,1900.5665,3372.8985,1,0,443,313,0.7065,0.5995,349.9
73,2000.4055,3291.1705,1897.2139,3368.4201,1,0,462,301,0.6515,0.5142,232.7
74,1995.4238,3282.8913,1891.4528,3360.7243,1,0,452,303,0.6704,0.6490,268.2
75,1991.9560,3277.4303,1887.5875,3355.5609,1,0,454,311,0.6850,0.6523,266.1
76,1987.1904,3270.7253,1882.6593,3348.9777,1,0,469,334,0.7122,0.5882,295.6
77,1983.5097,3264.0410,1878.1306,3342.9282,1,0,461,310,0.6725,0.6284,278.8
78,1979.9319,3259.6262,1874.7277,3338.3825,1,0,466,321,0.6888,0.6016,290.8
79,1975.5169,3252.5195,1869.7326,3331.7100,1,0,464,302,0.6509,0.6422,292.8
80,1973.3481,3248.6329,1867.0891,3328.1787,1,0,482,300,0.6224,0.5265,334.2
81,1968.7510,3241.4257,1861.9804,3321.3545,1,0,479,337,0.7035,0.6152,342.4
82,1964.1809,3235.1666,1857.3363,3315.1508,1,0,486,351,0.7222,0.6098,222.3
83,1959.0383,3226.3122,1851.2415,3307.0092,1,0,472,310,0.6568,0.6384,221.6
84,1956.3477,3222.7887,1848.5848,3303.4603,1,0,476,353,0.7416,0.6120,251.7
85,1951.3919,3214.5421,1842.8487,3295.7979,1,0,484,319,0.6591,0.6477,260.1
86,1947.8902,3209.5504,1839.1963,3290.9190,1,0,488,346,0.7090,0.6102,225.6
87,1944.2181,3203.9767,1835.2035,3285.5853,1,0,499,370,0.7415,0.6112,205.2
88,1940.0591,3197.7115,1830.7042,3279.5750,1,0,486,369,0.7593,0.6041,198.3
89,1936.3886,3191.5232,1826.4171,3273.8482,1,0,514,391,0.7607,0.6001,189.7
90,1931.4293,3183.5430,1820.8075,3266.3549,1,0,486,328,0.6749,0.6549,172.6
91,1928.0054,3178.9786,1817.3881,3261.7871,1,0,489,364,0.7444,0.6156,185.1
92,1923.4060,3171.3146,1812.0594,3254.6690,1,0,493,319,0.6471,0.6458,184.6
93,1920.0745,3166.6736,1808.6365,3250.0965,1,0,502,392,0.7809,0.6098,184.5
94,1916.2267,3160.5301,1804.3072,3244.3134,1,0,500,407,0.8140,0.6083,171.8
95,1912.2237,3154.4340,1799.9450,3238.4862,1,0,499,413,0.8277,0.6070,155.7
96,1908.6343,3148.6188,1795.8661,3233.0375,1,0,493,400,0.8114,0.6144,150.6
97,1904.1417,3141.9672,1791.0615,3226.6194,1,0,529,446,0.8431,0.6080,148.5
98,1900.0438,3135.5208,1786.4971,3220.5223,1,0,518,426,0.8224,0.6141,153.7
99,1896.2838,3129.7134,1782.3607,3214.9967,1,0,517,447,0.8646,0.6102,159.1
100,1892.2298,3123.2818,1777.8191,3208.9300,1,0,538,452,0.8401,0.6105,159.2
101,1888.2027,3117.0875,1773.4011,3203.0284,1,0,527,451,0.8558,0.6085,152.3
102,1884.2512,3110.9033,1769.0151,3197.1694,1,0,538,454,0.8439,0.6060,155.3
103,1880.2304,3104.5308,1764.5139,3191.1566,1,0,538,459,0.8532,0.6102,158.6
104,1876.0779,3098.3742,1760.0689,3185.2189,1,0,534,460,0.8614,0.6111,156.8
105,1872.3062,3092.1632,1755.7346,3179.4291,1,0,558,478,0.8566,0.6136,157.4
106,1868.1025,3085.7676,1751.1566,3173.3137,1,0,559,475,0.8497,0.6136,155.1
107,1864.2791,3079.7583,1746.9005,3167.6283,1,0,588,503,0.8554,0.6151,144.0
108,1860.0343,3073.3180,1742.2863,3161.4646,1,0,575,490,0.8522,0.6143,150.3
109,1856.2283,3067.2070,1737.9877,3155.7223,1,0,588,508,0.8639,0.6181,159.0
110,1852.2317,3060.9760,1733.5630,3149.8118,1,0,566,497,0.8781,0.6160,155.8
111,1848.2344,3054.7541,1729.1425,3143.9067,1,0,598,511,0.8545,0.6217,155.6
112,1844.0869,3048.2701,1724.5422,3137.7616,1,0,593,513,0.8651,0.6194,155.7
113,1840.0618,3042.0787,1720.1263,3131.8628,1,0,600,511,0.8517,0.6252,158.9
114,1835.9392,3035.7557,1715.6123,3125.8329,1,0,599,514,0.8581,0.6278,157.1
115,1831.8402,3029.5432,1711.1598,3119.8850,1,0,598,518,0.8662,0.6283,152.2
116,1827.6644,3023.2377,1706.6350,3113.8408,1,0,616,531,0.8620,0.6259,160.0
117,1823.8555,3017.1143,1702.3293,3108.0892,1,0,611,525,0.8592,0.6191,157.7
118,1819.5778,3010.6230,1697.6789,3101.8770,1,0,613,525,0.8564,0.6189,157.1
119,1815.6086,3004.5730,1693.3509,3096.0956,1,0,641,551,0.8596,0.6167,163.4
120,1811.5565,2998.3157,1688.8937,3090.1416,1,0,626,535,0.8546,0.6204,163.5
121,1807.4932,2992.0042,1684.4064,3084.1474,1,0,645,544,0.8434,0.6221,163.9
122,1803.2546,2985.5306,1679.7784,3077.9652,1,0,654,563,0.8609,0.6218,159.0
123,1799.1307,2979.2405,1675.2797,3071.9557,1,0,623,535,0.8587,0.6270,164.2
124,1795.1549,2973.1317,1670.9212,3066.1335,1,0,644,543,0.8432,0.6194,157.4
125,1791.0594,2966.8706,1666.4465,3060.1562,1,0,650,553,0.8508,0.6178,161.7
126,1786.8560,2960.5747,1661.9165,3054.1049,1,0,624,528,0.8462,0.6253,158.1
127,1783.0262,2954.7195,1657.7320,3048.5152,1,0,648,538,0.8302,0.6149,158.1
128,1778.7681,2948.1075,1653.0307,3042.2350,1,0,653,547,0.8377,0.6202,161.4
129,1774.6534,2941.8578,1648.5546,3036.2558,1,0,636,534,0.8396,0.6221,160.1
130,1770.2985,2935.1088,1643.7528,3029.8414,1,0,657,546,0.8311,0.6182,161.4
131,1766.5260,2929.3174,1639.6195,3024.3200,1,0,646,545,0.8437,0.6223,168.5
132,1762.4339,2923.1706,1635.2009,3018.4177,1,0,634,527,0.8312,0.6186,162.0
133,1758.2805,2916.9193,1630.7102,3012.4188,1,0,654,545,0.8333,0.6190,157.7
134,1754.0003,2910.1262,1625.9140,3006.0120,1,0,656,552,0.8415,0.6264,159.1
135,1750.0499,2904.1813,1621.6432,3000.3070,1,0,642,536,0.8349,0.6197,161.8
136,1745.2390,2897.2194,1616.5755,2993.5374,1,0,676,563,0.8328,0.6258,160.0
137,1741.7817,2891.5842,1612.6303,2988.2673,1,0,671,560,0.8346,0.6251,153.8
138,1737.5157,2885.1008,1607.9878,2982.0659,1,0,650,560,0.8615,0.6257,154.9
